A,data\test_letter_a.jpg
B,data\test_letter_b
C,data\test_letter_c
D,data\test_letter_d
E,data\test_letter_e
F,data\test_letter_f
G,data\test_letter_g
H,data\test_letter_h
I,data\test_letter_i
J,data\test_letter_j
K,data\test_letter_k
L,data\test_letter_l
M,data\test_letter_m
N,data\test_letter_n
O,data\test_letter_o
P,data\test_letter_p
Q,data\test_letter_q
R,data\test_letter_r
S,data\test_letter_s
T,data\test_letter_t
U,data\test_letter_u
V,data\test_letter_v
W,data\test_letter_w
X,data\test_letter_x
Y,data\test_letter_y
Z,data\test_letter_z
